Title,Source,URL,Summarized Content,Disruption Type
Implementing Supplier Segmentation for Better Management and Financial Control,supplychainbrain.com,https://www.supplychainbrain.com/blogs/1-think-tank/post/40666-implementing-supplier-segmentation-for-better-management-and-financial-control,"Such a metric extends to quality, timeliness and maybe even the ability to get you out of a pinch. If your goal, say, is to increase your on-time, in-full (OTIF) order percentage, you need to have a realistic number to aim for. As such, it would need to pull more specific and relevant reports from its accounting and operations management software to further segment the data, and find a supplier that meets its long-term financial and reputational needs.\ Creating a Segmentation Matrix A segmentation matrix helps you to categorize suppliers into different groups.",Supply chain
"Thar Coal, once touted as the end to reliance on LNG, is capable of producing its own natural gas. What will it take? - Profit by Pakistan Today",Profit by Pakistan Today,https://profit.pakistantoday.com.pk/2024/12/09/thar-coal-once-touted-as-the-end-to-reliance-on-lng-is-capable-of-producing-its-own-natural-gas-what-will-it-take/,"For starters, it was the first to exploit the 175 billion tonnes of lignite that was spread across the 900 km2 coal fields in Tharparkar, which is possibly the second largest coal reserve in the world. But the fact is that if it is even a little lower than the price of imported LNG, Pakistan will be able to at least have stability when it comes to energy prices rather than being dependent on the fluctuations of the market. As a result of the study, the Sindh Coal Authority is striving to woo private investment to finance the country's first coal-to-gas project to initially produce 100mmcfd to 200mmcfd of gas from coal in the Thar desert.",Supply chain
How Companies Can Guard Against A Tariff-Related Supply Chain Crisis,expertclick.com,"https://www.expertclick.com/NewsRelease/How-Companies-Can-Guard-Against-A-TariffRelated-Supply-Chain-Crisis,2024308090.aspx","This approach has to be weighed against the financial risk of sitting on aging inventory but, depending on the product and position of the company, it is something to consider,"" Paul F. Magel, president of the application solutions division of Computer Generated Solutions, advised via email. Diversify ""Another way that businesses can proactively mitigate the impact of potentially higher tariffs is by re-evaluating their supply chains and considering strategic diversification of sourcing and production to areas where tariffs are not being imposed,"" he counseled. Companies and organizations have faced a number of supply chain crises over the years, including the Covid-19 pandemic, the 2021 blockage of the Suez Canal by a cargo container ship, and the impact of Russia's invasion of Ukraine Businesses who don't take steps now to protect themselves as much as possible from a tariff-related supply chain crisis will only have themselves to blame if and when it -- or another crisis -- strikes.",Supply chain
How Companies Can Guard Against A Tariff-Related Supply Chain Crisis,expertclick.com,https://www.expertclick.com/NewsRelease/How-Companies-Can-Guard-Against-A-TariffRelated-Supply-Chain-Crisis%2C2024308090.aspx,"This approach has to be weighed against the financial risk of sitting on aging inventory but, depending on the product and position of the company, it is something to consider,"" Paul F. Magel, president of the application solutions division of Computer Generated Solutions, advised via email. ""Another way that businesses can proactively mitigate the impact of potentially higher tariffs is by re-evaluating their supply chains and considering strategic diversification of sourcing and production to areas where tariffs are not being imposed,"" he counseled. Companies and organizations have faced a number of supply chain crises over the years, including the Covid-19 pandemic, the 2021 blockage of the Suez Canal by a cargo container ship, and the impact of Russia's invasion of Ukraine Businesses who don't take steps now to protect themselves as much as possible from a tariff-related supply chain crisis will only have themselves to blame if and when it -- or another crisis -- strikes.",Supply chain
Bills sponsored by Reps. Curtis and Maloy get green light in House,Daily Herald,https://www.heraldextra.com/news/local/2024/dec/07/bills-sponsored-by-reps-curtis-and-maloy-get-green-light-in-house/,"The bill would convey three parcels of land (currently under the purview of the Bureau of Land Management and the U.S. Forest Service) to Utah to be included as part of Antelope Island State Park, Wasatch Mountain State Park, and Fremont Indian State Park. ""Residents of Southeast Utah called to federal jury duty are regularly excused due to hardship because the travel requirement is so unwieldy,"" the Judicial Conference of the United States wrote in a July letter expressing support for the bill. The changes proposed by the bill would also come at no cost, according to the Judicial Conference, noting ""the district has agreements with state/county courthouses in Moab and Monticello for the use of their facilities at no cost.""",Supply chain
"'National security is the foundation for growth,' defence secretary launches new strategy to boost UK jobs and growth - Caribbean News Global",Caribbean News Global,https://caribbeannewsglobal.com/national-security-is-the-foundation-for-growth-defence-secretary-launches-new-strategy-to-boost-uk-jobs-and-growth/,"The new strategy will be shaped with the defence industry, identifying opportunities to innovate at speed, with the resilience to deter aggression by adversaries, able to seize the opportunity presented by the technologies of the future, while growing the UK's share of the exports market. Kevin Craven, CEO of ADS Group, said: ""The government underlining the importance of the defence sector to the UK economy is hugely welcomed, particularly the sector's inclusion as a high priority area for growth. The government's primary mission is to secure the highest sustained growth in the G7 - with good jobs and productivity growth in every part of the country - and with more than 200,000 UK jobs supported through spend with the defence industry, the new strategy will have a key role to play in this.",Supply chain
UK manufacturing PMI sinks to 9-month low as orders dry up,Cyprus Mail,https://cyprus-mail.com/2024/12/07/uk-manufacturing-pmi-sinks-to-9-month-low-as-orders-dry-up/,"The S&P Global manufacturing Purchasing Managers' Index sank to 48.0 in November from 49.9 in October - below an earlier estimate of 48.6 and the 50 level that divides growth from contraction. S&P cited headwinds from a 25 billion pound ($32 billion) rise in employment taxes in the new Labour government's Oct. 30 budget, a 7 per cent increase in Britain's minimum wage, disruption to shipping in the Red Sea and the threat of global goods tariffs. Last week US President-elect Donald Trump said he planned to impose a 25 per cent tariff on all goods the United States imports from Canada and Mexico and he has floated blanket tariffs of 10 per cent to 20 per cent on virtually all imports.",Supply chain
Fields on Wheels casts eyes on food supply chain links,Winnipeg Free Press,https://www.winnipegfreepress.com/business/2024/12/06/fields-on-wheels-casts-eyes-on-food-supply-chain-links,"Known for, among other things, his enthusiasm for the potential airships could have in opening up the movement of goods in the North, Prentice also organizes the annual Fields on Wheels conference that invites experts to focus on issue of agribusiness logistics. ""Something like an average of about 90 per cent of all the cost of food occurs beyond the farm,"" the U of M researcher said. Prentice believes while the rise in the cost of food has been dramatic -- maybe more so recently than in the previous 29 years -- it's just another impact of increased interest rates, energy costs and rising wages.",Supply chain
"Containing US, EU, and UK sanctions risks in a time of global crisis",nortonrosefulbright.com,https://www.nortonrosefulbright.com/en-us/knowledge/publications/0c7bd634/containing-us-eu-and-uk-sanctions-risks-in-a-time-of-global-crisis,"As another example, a company that has lost significant business as a result of COVID-19 may not apply the same level of scrutiny to payments, customers, or third parties that it ordinarily would, and might miss that a customer is a shell company owned by a Russian oligarch who has been designated as an SDN (meaning if there is a US company or there is a US nexus to the transaction, the transaction is prohibited, or even where there is no US nexus, the transaction could result in SDN designation risk or secondary sanctions risk) or that payments are derived from illegitimate sources. These actions are not all detailed here, but key developments related to COVID-19 include (1) OFAC's issuance on March 6, 2020 of a Frequently Asked Question (#828) related to humanitarian assistance with regard to the COVID-19 outbreak in Iran; (2) the Treasury Department's issuance of a press release on April 9, 2020 underscoring its commitment to the global flow of humanitarian aid in the face of COVID-19; (3) OFAC's publication on April 16, 2020 of a fact-sheet on the provision of humanitarian assistance and trade to combat COVID-19; (4) OFAC's issuance of guidance on April 20, 2020 encouraging persons to communicate OFAC compliance concerns related to COVID-19; and (5) OFAC's issuance on June 5, 2020 of a Frequently Asked Question (#830) stating that OFAC is not targeting Iranian manufacturers of medicines, medical devices, or products used for sanitation or hygiene or as personal protective equipment for use in Iran pursuant to Executive Order 13902 for continuing to manufacture these items. There also have been several EU sanctions-related developments relating to COVID-19, including the following: These recent developments, along with others unrelated to COVID-19, such as OFAC's recent issuance of maritime advisory guidance (covered in our separate briefing here), indicate that the US and EU remain committed to actively administering and enforcing sanctions laws during the pandemic, and companies need to be vigilant about ongoing and emergent sanctions risks.",Supply chain
Schumer visits Little Falls to push for dairy farmer support,CNYhomepage,https://www.cnyhomepage.com/news/local-news/schumer-visits-little-falls-to-push-for-dairy-farmer-support/,"But by the end of this year many of our Mohawk Valley dairy farms could be looking over a 'dairy cliff' that threatens lifeline payments, puts the industry in limbo, and increases the price of milk,"" Senator Schumer said in a statement. With most of Herkimer County's agricultural sales driven by dairy farms, renewal of the Dairy Margin Coverage Program is absolutely critical to maintaining the stable dairy markets that the countless rural, farm-driven communities across our region depend on,"" Little Falls Town Supervisor and Casler Family Farm Owner Daniel Casler said in a statement. ""On behalf of dairy farmers in Herkimer County and across New York State, I would like to extend our collective appreciation to Senator Schumer for fighting to reauthorize the Dairy Margin Coverage program and protect our state's dairy farms.",Supply chain
